Region,Country,Industry,Category,Subcategory,ProductId,Lowest Level,2019,2020,2021,2022,2023,2024
World,World,Apparel and Footwear,Apparel,Baby and Toddler Wear,723179,yes,42895.4794332409,37871.9357020517,41646.6582612546,40499.9693651252,40908.0334905644,41120.3554390766
World,World,Apparel and Footwear,Apparel,Boys' Apparel,723181,yes,69196.3988132887,58824.4398427579,64853.842188681,63505.5171868703,65440.7484395594,65967.1988372787
World,World,Apparel and Footwear,Apparel,Girls' Apparel,723180,yes,77424.0674123262,66805.1414664468,74462.9374408798,72671.9395621573,74616.6953574262,75270.6078705808
World,World,Apparel and Footwear,Apparel,Belts,723127,yes,16813.7957688135,13215.5542211141,14279.8819588243,13523.4011177871,13992.4154281196,13883.9784170841
World,World,Apparel and Footwear,Apparel,Gloves,723131,yes,13560.880191674,10993.7288160998,12021.3269067317,11375.7909552051,11495.0333012469,11346.2317565387
World,World,Apparel and Footwear,Apparel,Hats/Caps,723129,yes,17309.7107541404,13862.7459980096,15244.4621148113,14890.6056361551,15276.2394663506,15221.8804028579
World,World,Apparel and Footwear,Apparel,Scarves,723130,yes,14202.4241385739,11630.453083293,12674.668475888,12218.56987487,12605.9228605073,12577.5774841573
World,World,Apparel and Footwear,Apparel,Ties,723128,yes,11235.205433265999,8705.7591194353,9391.5027925682,8846.1709790756,9247.3552642555,9064.6842138398
World,World,Apparel and Footwear,Apparel,Other Apparel Accessories,723132,yes,4878.6331190397,16602.3950564966,14827.0619372665,10584.9337932971,8604.540398754,8390.0319303796
World,World,Apparel and Footwear,Apparel,Men's Nightwear,723192,yes,8135.7961558858,7310.1837453274,7900.1830895066,7475.3320171747,7697.9185659461,7539.1278528135
World,World,Apparel and Footwear,Apparel,Economy Men's Jeans,723187,yes,16876.0132621959,13947.884404962,15547.3707792794,15454.6216266224,15740.2295315129,15706.6520214037
World,World,Apparel and Footwear,Apparel,Standard Men's Jeans,723188,yes,20004.899659802,16248.8475124062,18367.8384361473,18325.4970958288,18527.9860128053,18547.600366506
World,World,Apparel and Footwear,Apparel,Premium Men's Jeans,723189,yes,12313.1400046996,9657.5820080323,10681.3244246495,10865.8836464559,11116.8705002205,11116.1443591026
World,World,Apparel and Footwear,Apparel,Super Premium Men's Jeans,723190,yes,5650.4376955914,4252.8138139027,4758.3389431051,4818.3494028267,5014.3076225605,5056.9802234775
World,World,Apparel and Footwear,Apparel,Men's Jackets and Coats,723170,yes,50233.2507042871,40809.738744724,45988.236081626,45092.605590835,45818.1674514387,45527.0778031341
World,World,Apparel and Footwear,Apparel,Men's Jumpers,723167,yes,42326.222538908,36003.8981550148,41010.9354511306,40781.8979971938,40581.0676600258,39869.885595835
World,World,Apparel and Footwear,Apparel,Men's Shirts,723166,yes,77939.5792886049,62194.3863889958,70433.8544605019,70744.5313465108,73254.911661672,73602.1792186956
World,World,Apparel and Footwear,Apparel,Men's Shorts and Trousers,723168,yes,94438.6443684087,77527.7109603127,88707.353648716,88297.4623845854,90096.3040209809,90654.5390868148
World,World,Apparel and Footwear,Apparel,Men's Suits,723169,yes,40893.1115476403,30770.4354159174,33414.7597816245,32645.7608761239,33896.3402363332,33375.2348100469
World,World,Apparel and Footwear,Apparel,Men's Tops,723165,yes,53872.5007993228,44778.7305242182,50351.4342450071,51247.0346360039,52344.0188554816,52613.0122895692
World,World,Apparel and Footwear,Apparel,Other Men's Outerwear,723171,yes,14337.9791794009,11283.720874704,12652.9826658703,12550.4637902206,13101.9497051465,13148.6852369715
World,World,Apparel and Footwear,Apparel,Men's Swimwear,723193,yes,6297.9720954196,4806.6417895516,5537.9434506605,5673.5602310314,5819.6081361737,5813.4784414762
World,World,Apparel and Footwear,Apparel,Men's Underwear,723191,yes,38608.3444237976,33544.1752450589,36421.3813417753,35909.8912520812,36851.4258708583,36708.2478838046
World,World,Apparel and Footwear,Apparel,Women's Nightwear,723123,yes,25453.6126025044,22870.1131542694,25371.4032781232,24161.9385919175,24738.6775141698,24251.759769188
World,World,Apparel and Footwear,Apparel,Economy Women's Jeans,723118,yes,17579.081740144,14957.2290745074,16792.6715611046,16523.1315433518,16618.3141664943,16440.3642041097
World,World,Apparel and Footwear,Apparel,Standard Women's Jeans,723119,yes,18388.2190541568,15170.4445340367,17245.1093218032,16833.3262775669,16901.5930872159,16851.8101919324
World,World,Apparel and Footwear,Apparel,Premium Women's Jeans,723120,yes,11059.4755455369,8812.2916795477,9930.9065183089,10019.2908456136,10184.9915216413,10077.8933306243
World,World,Apparel and Footwear,Apparel,Super Premium Women's Jeans,723121,yes,5694.3354056367,4427.8752990805,5021.289100379,5048.8486897147,5152.1395460008,5140.7422267542
World,World,Apparel and Footwear,Apparel,Women's Dresses,723115,yes,71258.9572981194,57822.6749846164,64761.4349913706,63355.067837785,64274.5848034922,64337.1763874937
World,World,Apparel and Footwear,Apparel,Women's Jackets and Coats,723177,yes,72742.3379178956,59130.5283970002,66262.0723443017,64458.3904275473,65543.2656146924,65142.2540985209
World,World,Apparel and Footwear,Apparel,Women's Jumpers,723174,yes,49070.4481831561,42759.3628281454,47344.7977874614,46041.903011389,45473.7405932962,44730.9160270183
World,World,Apparel and Footwear,Apparel,Women's Leggings,723126,yes,18587.491813827,16487.0849906345,19437.1665338529,19457.0096804159,19789.7611261261,20101.7625444662
World,World,Apparel and Footwear,Apparel,Women's Shirts and Blouses,723173,yes,74171.2586539818,60983.7479419369,67768.1079147996,66894.755064219207,68382.6467828344,68203.3430954091
World,World,Apparel and Footwear,Apparel,Women's Shorts and Trousers,723175,yes,92274.1164388508,76560.4959125745,87146.5268663546,84437.2793759728,85474.9921340945,85424.015739207
World,World,Apparel and Footwear,Apparel,Women's Skirts,723116,yes,42170.9985084818,34858.6131131508,38085.5415810329,36062.888271816,37285.7816075517,37267.708028423804
World,World,Apparel and Footwear,Apparel,Women's Suits,723176,yes,27786.3325270221,21821.0047325956,23611.1888233954,22897.7084994925,24079.9151078758,23888.4379372882
World,World,Apparel and Footwear,Apparel,Women's Tops,723172,yes,71090.9893224204,59539.8335502387,66915.7267749999,67166.1588556421,68173.4394250976,68655.5243736592
World,World,Apparel and Footwear,Apparel,Other Women's Outerwear,723178,yes,43763.2786481411,31232.545759778,34475.3741236412,34600.3309121275,36667.196363296,37062.2151793412
World,World,Apparel and Footwear,Apparel,Women's Swimwear,723124,yes,17322.4586423801,14045.4774091084,16497.5664556108,16170.0890324115,16765.405803674,16806.5045063147
World,World,Apparel and Footwear,Apparel,Women's Underwear,723122,yes,90857.3522516798,79090.2726758803,88953.0621033013,87264.368220767,89476.479638559,89322.9515692569
World,World,Apparel and Footwear,Apparel,Sheer Hosiery,723203,yes,18411.3402423895,14838.7993336963,15918.0325923971,14766.6078596157,14880.9114256862,14710.7397709528
World,World,Apparel and Footwear,Apparel,Non-Sheer Hosiery,723202,yes,39463.5779694113,33507.4270878429,36505.8071529421,34614.588650911,35312.903758618,35288.2300928924
World,World,Apparel and Footwear,Footwear,Children's Footwear,723184,yes,58557.4127921295,49337.5751967693,54915.0917563779,54629.9149543289,56261.8192831807,54537.0086721307
World,World,Apparel and Footwear,Footwear,Men's Footwear,723182,yes,148597.8757865838,122680.8209548491,138022.6167346829,137141.4642202679,142270.8667285467,139753.7619736721
World,World,Apparel and Footwear,Footwear,Women's Footwear,723183,yes,202105.1938974714,166126.0044372915,187203.5973403654,184145.6239357794,190299.9063051403,187758.8402970657
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Baby and Toddler Wear,723179,yes,12124.9129696414,10675.28792301,11821.1328651951,11185.4901400784,11862.0686936692,12052.3507072746
